,delivery_id,id_source,delivery_cost_sds,radius,delivery_options,promo,delivery,take_away,dine_in
9892,delv_9892,SGDD00758,4.4,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9893,delv_9893,4-C2T2GCECMFJAVJ,12.0,4000,ONLY_DELIVERY,No Promotion available,True,False,False
9894,delv_9894,4-CZDUBEM2GLLWTN,18.7,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9895,delv_9895,4-C2UHAY2GN8DKTJ,16.8,5000,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9896,delv_9896,4-CZB1FBUAPBAJNJ,7.2,24999,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9897,delv_9897,4-CZLKKGMTDB5UPE,1.99,4000,ONLY_DELIVERY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,False,False
9898,delv_9898,4-C2BHGCCFV6XFNJ,18.6,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9899,delv_9899,4-C2C1PEVGL6XKG2,4.0,4999,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9900,delv_9900,4-CZDWLYDWEPDATX,12.0,5999,ONLY_DELIVERY,No Promotion available,True,False,False
9901,delv_9901,4-C2T2GTVFUB3FT2,16.5,5000,DELIVERY_TAKEAWAY,30% OFF Full Menu,True,True,False
9902,delv_9902,4-C2AVT6VFATWCTE,3.3,3000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9903,delv_9903,4-C2KBRRACNTEHJE,4.0,7000,DELIVERY_TAKEAWAY,50% off TODAY'S special,True,True,False
9904,delv_9904,4-CZDYGAN1NEMZUA,15.1,5000,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9905,delv_9905,4-C2TYWBCDFBTZEA,4.7,4999,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9906,delv_9906,4-CYTZKCMYGEWKNN,14.9,4999,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9907,delv_9907,4-C2LFV3NZTADJTE,12.0,5000,ONLY_DELIVERY,No Promotion available,True,False,False
9908,delv_9908,4-C2N1RXCDVYWWNE,3.3,2500,ONLY_DELIVERY,$0 Delivery Fee (min. $18 spend)!,True,False,False
9909,delv_9909,4-C2UAUGDZAP3XPE,12.0,4000,ONLY_DELIVERY,"Enjoy 20% off min. spend $25 with promo code ""GROCERIES""!",True,False,False
9910,delv_9910,4-CYMFLRN1FGNWSA,11.6,4999,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9911,delv_9911,4-C2JUE8NTLE2UUE,3.7,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9912,delv_9912,4-CY2EHAXZHEBGLN,3.3,2500,ONLY_DELIVERY,$0 Delivery Fee (min. $25 spend)!,True,False,False
9913,delv_9913,4-C2BFLCCGATWCRJ,16.8,5000,DELIVERY_TAKEAWAY,$0.50 off Healthy Me Combo,True,True,False
9914,delv_9914,4-CZJZVJ6WN763EN,4.6,4999,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9915,delv_9915,SGDD01391,12.0,4000,ONLY_DELIVERY,No Promotion available,True,False,False
9916,delv_9916,4-C2CEN2NZGJ6ZTA,16.3,5000,DELIVERY_TAKEAWAY,"Use promo code ""TRMFOOD5"" at checkout to enjoy a $5 discount!",True,True,False
9917,delv_9917,4-CZLBVGKEAE6JRT,15.1,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9918,delv_9918,4-C2THT7VEGCCCVA,7.3,5000,ONLY_DELIVERY,No Promotion available,True,False,False
9919,delv_9919,4-C2BJLNVDRAE2GJ,3.3,3000,ONLY_DELIVERY,$0 Delivery Fee (min. $18 spend)!,True,False,False
9920,delv_9920,4-CZKUJGEVTNKYJT,14.3,5000,DELIVERY_TAKEAWAY_DINEIN,No Promotion available,True,True,True
9921,delv_9921,4-CYWWWBDAJKWEJ2,6.9,4999,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9922,delv_9922,4-C2DHGLEKGXCZBE,11.4,4999,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9923,delv_9923,4-CYLTMACCL7NZLJ,16.0,5000,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9924,delv_9924,4-CYXJRRLHN6KWRN,3.4,5000,ONLY_DELIVERY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,False,False
9925,delv_9925,4-C2EWC7XWNN2ARJ,3.7,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9926,delv_9926,4-C2TYR6TDAYBVV2,4.0,2500,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9927,delv_9927,SGDD07903,13.6,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9928,delv_9928,4-C2NZTNVHCU3XNA,3.3,2500,DELIVERY_TAKEAWAY,S$3.00 off delivery fee with S$19.00 min. order,True,True,False
9929,delv_9929,4-C2CVNXVAEYMEBE,3.9,4999,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9930,delv_9930,4-C2NKCLCHL3UZVA,3.9,5000,ONLY_DELIVERY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,False,False
9931,delv_9931,4-CY6YSFVWT7TYDA,3.9,5000,ONLY_DELIVERY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,False,False
9932,delv_9932,4-C2T1LNWKJBKDVX,4.9,2500,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9933,delv_9933,4-CZJTN3VUEAJUMA,3.3,2500,ONLY_DELIVERY,$0 Delivery Fee (min. $23 spend)!,True,False,False
9934,delv_9934,SGDD01269,3.3,2500,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9935,delv_9935,4-CZL3CT51J6MBN6,4.9,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9936,delv_9936,SGDD06276,3.9,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9937,delv_9937,4-CZLBCZKXLLJARA,3.1,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9938,delv_9938,4-CZD3T8L3FCLWEJ,18.2,5000,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9939,delv_9939,4-CYNKN8BTCK5CNJ,9.5,4999,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9940,delv_9940,SGDD06440,16.2,4999,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9941,delv_9941,4-C2NFJTCHLGMKVA,9.2,10000,ONLY_DELIVERY,"Enjoy 20% off min. spend $25 with promo code ""GROCERIES""!",True,False,False
9942,delv_9942,4-C2BGN8CJCCB3A6,8.5,4999,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9943,delv_9943,4-C2LBKAVELFJXHA,9.0,4999,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9944,delv_9944,4-C2BGN2K2JCMXA6,9.1,4000,ONLY_DELIVERY,No Promotion available,True,False,False
9945,delv_9945,4-C2BGN2UTLEVXJ2,13.0,5000,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9946,delv_9946,4-C2LVL6NTJN5UA6,8.7,25000,ONLY_DELIVERY,5% off with S$40.00 min. order,True,False,False
9947,delv_9947,4-CZLAUA5GNNKWE2,5.0,1500,ONLY_DELIVERY,No Promotion available,True,False,False
9948,delv_9948,4-CZKXEA63GEUXPE,14.4,5000,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9949,delv_9949,4-CYLTMADHTVC2RJ,5.0,4999,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9950,delv_9950,4-CYLKAABXKFMCE2,4.5,9999,ONLY_DELIVERY,"Free Delivery with promo code ""DRINKS""",True,False,False
9951,delv_9951,SGDD00057,12.8,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9952,delv_9952,SGDD09298,8.7,4999,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9953,delv_9953,4-CZNGA6KJBBXZA2,10.3,4999,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9954,delv_9954,4-CY3DJREHVXBHDA,13.0,5000,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9955,delv_9955,4-C2AVNAUGDBLXBA,12.0,4999,DELIVERY_TAKEAWAY,S$3.00 off delivery fee with S$18.00 min. order,True,True,False
9956,delv_9956,4-CZDCJBBJRCN1TJ,6.0,9999,ONLY_DELIVERY,"Enjoy 20% off min. spend $25 with promo code ""GROCERIES""!",True,False,False
9957,delv_9957,4-CZLGG7XUSCB2JE,9.5,4000,ONLY_DELIVERY,No Promotion available,True,False,False
9958,delv_9958,4-CYN1J3K1LKXYNX,3.8,5000,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9959,delv_9959,4-CZATLEX1L4LKG6,12.0,9999,ONLY_DELIVERY,No Promotion available,True,False,False
